MOD;CUTOFF;TONNES;Ag_E;Ag;Au;AgE_oz
E_type;0;5566947.306;163.311239;106.4580809;0.789627196;29229670.69
E_type;25;5431508.54;166.9522085;108.8397313;0.807117739;29154350.67
E_type;50;5085885.395;175.6946913;114.5224573;0.849614361;28728698.2
E_type;75;4272981.607;197.115174;128.5300545;0.952571105;27079573.46
E_type;100;3495717.157;221.6094781;144.8112075;1.066642647;24906652.13
E_type;125;2903383.886;243.9545151;159.0350735;1.179436689;22772151.3
E_type;150;2431874.178;264.6636559;171.9228393;1.288066897;20693128.12
E_type;175;2030145.377;284.8813602;184.267914;1.397408976;18594388.94
E_type;200;1663538.558;306.4145338;197.5010945;1.512686657;16388264.72
E_type;225;1358612.891;327.5827931;210.6939599;1.623456016;14308942.9
E_type;250;1099282.353;348.9040538;223.9729553;1.735154145;12331218.96
Kriging Ordinario;0;5567029.795;148.7119372;96.1815585;0.729588591;26617061.91
Kriging Ordinario;25;5345037.24;154.2267948;99.76013079;0.756481445;26503382.62
Kriging Ordinario;50;4692277.79;170.3039095;110.0642798;0.836661524;25692068.48
Kriging Ordinario;75;3543247.596;205.2092016;132.4390957;1.010695914;23377015.78
Kriging Ordinario;100;2632585.406;246.3299267;159.0014197;1.212895931;20849247.52
Kriging Ordinario;125;2075704.054;282.5617625;182.2032653;1.393868016;18856868.07
Kriging Ordinario;150;1709745.053;313.6578165;202.2981873;1.546661517;17241625.54
Kriging Ordinario;175;1408663.071;346.0997623;222.9233707;1.710783215;15674697.51
Kriging Ordinario;200;1194385.344;374.6827764;241.1911046;1.854050996;14387950.45
Kriging Ordinario;225;1031560.96;400.2602445;257.4233854;1.983845267;13274803.22
Kriging Ordinario;250;887382.405;426.7989657;274.0365267;2.121700541;12176568.32
Recurso Recuperable;0;5,566,947;163.3112391;106.4580809;0.789627196;29229670.7
Recurso Recuperable;25;5,126,989;175.951132;114.7474976;0.85005048;29003153.78
Recurso Recuperable;50;4,377,194;199.6148893;130.185512;0.964296909;28091791.63
Recurso Recuperable;75;3,303,723;244.0958166;159.2506954;1.178404461;25927145.51
Recurso Recuperable;100;2,446,466;299.233677;195.7380434;1.437439356;23536415.58
Recurso Recuperable;125;1,945,255;347.5739831;227.4944675;1.667771049;21737742.46
Recurso Recuperable;150;1,609,468;391.4945195;256.2290662;1.878686852;20258108.7
Recurso Recuperable;175;1,369,482;431.6129433;282.305302;2.07371724;19003843.33
Recurso Recuperable;200;1,186,235;469.3575997;306.7165358;2.258903665;17900504.69
Recurso Recuperable;225;1,044,011;504.3255626;329.3073447;2.430808582;16928045.57
Recurso Recuperable;250;917,443;541.1494653;353.1697193;2.610829808;15961996.31
